"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
480,0,0,0,0,0,0,0,20240415,20241207
481,0,0,0,0,0,0,0,20240415,20241207
482,0,0,0,0,0,0,0,20240415,20241207
483,0,0,0,0,0,0,0,20240415,20241207
484,0,0,0,0,0,0,0,20240415,20241207
485,0,0,0,0,0,0,0,20240415,20241207
486,0,0,0,0,0,0,0,20240415,20241207
487,0,0,0,0,0,0,0,20240415,20241207
488,0,0,0,0,0,0,0,20240415,20241207
489,0,0,0,0,0,0,0,20240415,20241207
490,0,0,0,0,0,0,0,20240415,20241207
491,0,0,0,0,0,0,0,20240415,20241207
492,0,0,0,0,0,0,0,20240415,20241207
493,0,0,0,0,0,0,0,20240415,20241207
494,0,0,0,0,0,0,0,20240415,20241207
495,0,0,0,0,0,0,0,20240415,20241207
496,0,0,0,0,0,0,0,20240415,20241207
497,0,0,0,0,0,0,0,20240415,20241207
498,0,0,0,0,0,0,0,20240415,20241207
499,0,0,0,0,0,0,0,20240415,20241207
500,0,0,0,0,0,0,0,20240415,20241207
501,0,0,0,0,0,0,0,20240415,20241207
502,0,0,0,0,0,0,0,20240415,20241207
503,0,0,0,0,0,0,0,20240415,20241207
504,0,0,0,0,0,0,0,20240415,20241207
505,0,0,0,0,0,0,0,20240415,20241207
506,0,0,0,0,0,0,0,20240415,20241207
507,0,0,0,0,0,0,0,20240415,20241207
508,0,0,0,0,0,0,0,20240415,20241207
509,0,0,0,0,0,0,0,20240415,20241207
510,0,0,0,0,0,0,0,20240415,20241207
511,0,0,0,0,0,0,0,20240415,20241207
512,0,0,0,0,0,0,0,20240415,20241207
513,0,0,0,0,0,0,0,20240415,20241207
514,0,0,0,0,0,0,0,20240415,20241207
515,0,0,0,0,0,0,0,20240415,20241207
516,0,0,0,0,0,0,0,20240415,20241207
517,0,0,0,0,0,0,0,20240415,20241207
518,0,0,0,0,0,0,0,20240415,20241207
519,0,0,0,0,0,0,0,20240415,20241207
520,0,0,0,0,0,0,0,20240415,20241207
521,0,0,0,0,0,0,0,20240415,20241207
522,0,0,0,0,0,0,0,20240415,20241207
523,0,0,0,0,0,0,0,20240415,20241207
524,0,0,0,0,0,1,1,20240415,20241207
525,0,0,0,0,0,0,0,20240415,20241207
526,0,0,0,0,0,0,0,20240415,20241207
527,0,0,0,0,0,0,0,20240415,20241207
528,0,0,0,0,0,0,0,20240415,20241207
529,0,0,0,0,0,0,0,20240415,20241207
530,0,0,0,0,0,0,0,20240415,20241207
531,0,0,0,0,0,0,0,20240415,20241207
532,0,0,0,0,0,0,0,20240415,20241207
533,0,0,0,0,0,0,0,20240415,20241207
534,0,0,0,0,0,1,1,20240415,20241207
535,1,1,1,1,1,1,0,20240415,20241207
536,0,0,0,0,0,0,0,20240415,20241207
537,0,0,0,0,0,0,0,20240415,20241207
538,0,0,0,0,0,0,0,20240415,20241207
539,0,0,0,0,0,0,0,20240415,20241207
540,0,0,0,0,0,0,0,20240415,20241207
541,0,0,0,0,0,0,0,20240415,20241207
542,0,0,0,0,0,0,0,20240415,20241207
543,0,0,0,0,0,0,0,20240415,20241207
544,0,0,0,0,0,0,0,20240415,20241207
545,0,0,0,0,0,0,0,20240415,20241207
546,0,0,0,0,0,0,0,20240415,20241207
547,0,0,0,0,0,0,0,20240415,20241207
548,0,0,0,0,0,0,0,20240415,20241207
549,0,0,0,0,0,0,0,20240415,20241207
550,0,0,0,0,0,0,0,20240415,20241207
551,0,0,0,0,0,0,0,20240415,20241207
552,0,0,0,0,0,0,0,20240415,20241207
553,0,0,0,0,0,0,0,20240415,20241207
554,0,0,0,0,0,0,0,20240415,20241207
555,0,0,0,0,0,0,0,20240415,20241207
556,0,0,0,0,0,1,1,20240415,20241207
557,0,0,0,0,0,1,1,20240415,20241207
558,1,1,1,1,1,0,0,20240415,20241207
559,1,1,1,1,1,1,1,20240415,20241207
560,1,1,1,1,1,1,0,20240415,20241207
561,0,0,0,0,0,0,0,20240415,20241207
562,0,0,0,0,0,0,0,20240415,20241207
563,0,0,0,0,0,0,0,20240415,20241207
564,0,0,0,0,0,0,0,20240415,20241207
565,0,0,0,0,0,0,0,20240415,20241207
566,0,0,0,0,0,0,0,20240415,20241207
567,0,0,0,0,0,0,0,20240415,20241207
568,0,0,0,0,0,0,0,20240415,20241207
569,0,0,0,0,0,0,0,20240415,20241207
570,0,0,0,0,0,0,0,20240415,20241207
571,0,0,0,0,0,0,0,20240415,20241207
